issue_id,project_id,issue_category,description,severity,status,date_raised,date_resolved
ISS284,PRJ112,Budget,"Budget issue requiring project team attention",Medium,Open,2025-12-28,NULL
ISS285,PRJ113,Quality,"Quality issue requiring project team attention",High,Open,2025-07-22,NULL
ISS286,PRJ113,Quality,"Quality issue requiring project team attention",Low,Resolved,2025-11-22,2026-01-05
ISS287,PRJ114,Resource,"Resource issue requiring project team attention",High,Open,2025-01-21,NULL
ISS288,PRJ114,Resource,"Resource issue requiring project team attention",Medium,Escalated,2025-08-28,NULL
ISS289,PRJ114,Resource,"Resource issue requiring project team attention",Low,Escalated,2025-06-08,NULL
ISS290,PRJ114,Budget,"Budget issue requiring project team attention",Critical,Open,2025-09-08,NULL
ISS291,PRJ115,Schedule,"Schedule issue requiring project team attention",High,Open,2025-08-15,NULL
ISS292,PRJ115,Communication,"Communication issue requiring project team attention",Medium,Open,2025-08-15,NULL
ISS293,PRJ115,Budget,"Budget issue requiring project team attention",Low,Escalated,2025-12-21,NULL
ISS294,PRJ115,Technical,"Technical issue requiring project team attention",Low,Escalated,2025-01-18,NULL
ISS295,PRJ116,Communication,"Communication issue requiring project team attention",Low,Resolved,2025-09-18,2025-10-04
ISS296,PRJ117,Budget,"Budget issue requiring project team attention",Medium,Open,2025-04-28,NULL
ISS297,PRJ117,Schedule,"Schedule issue requiring project team attention",Medium,Escalated,2025-12-22,NULL
ISS298,PRJ117,Budget,"Budget issue requiring project team attention",High,Open,2025-02-25,NULL
ISS299,PRJ117,Quality,"Quality issue requiring project team attention",Low,Resolved,2025-06-27,2025-08-09
ISS300,PRJ118,Supplier,"Supplier issue requiring project team attention",Medium,Open,2025-01-06,NULL
ISS301,PRJ118,Schedule,"Schedule issue requiring project team attention",Low,Escalated,2025-02-09,NULL
ISS302,PRJ118,Supplier,"Supplier issue requiring project team attention",Low,Open,2025-07-07,NULL
ISS303,PRJ119,Communication,"Communication issue requiring project team attention",High,Resolved,2025-02-25,2025-03-26
ISS304,PRJ119,Technical,"Technical issue requiring project team attention",High,Open,2025-08-15,NULL
ISS305,PRJ119,Quality,"Quality issue requiring project team attention",Medium,"In Progress",2025-08-01,NULL
ISS306,PRJ119,Supplier,"Supplier issue requiring project team attention",High,Escalated,2025-10-16,NULL
ISS307,PRJ120,Quality,"Quality issue requiring project team attention",Medium,"In Progress",2025-02-13,NULL
ISS308,PRJ120,Quality,"Quality issue requiring project team attention",Medium,Resolved,2025-09-13,2025-10-12
